h3_index,hazard_baseline,hazard_enhanced,vulnerability,risk_baseline,risk_enhanced,risk_category,burned
892830001b3ffff,0.959092771915262,0.9550489631720359,0.17925904919011482,0.17192605837864153,0.17120116906822413,Low,0
892830001b7ffff,0.797994515766921,0.9445183153000793,0.18223960480555135,0.145426205190361,0.1721286445118916,Low,0
892830001bbffff,0.7916418001692525,0.9372428365346926,0.1777688601274665,0.14072926044534365,0.16661259071340573,Low,0
892830001c3ffff,0.9563597166426168,0.9278636368441846,0.1777687621705366,0.17001088301732312,0.164945170184843,Low,0
892830001c7ffff,0.904739211342159,0.9487771170788419,0.17627882701415065,0.15948636692910353,0.16724931729652573,Low,0
892830001cbffff,0.7471508780154851,0.9475555958722874,0.18223920612209546,0.13616018286296858,0.17268177954831476,Low,0
892830001cfffff,0.8030304390480308,0.9365067381347539,0.18521967555766397,0.1487370373834047,0.1734594741948853,Low,0
892830001d3ffff,0.9124910937604587,0.9387675337165268,0.1777690537121015,0.16221267825851723,0.1668838161244303,Low,0
892830001d7ffff,0.9314277549245354,0.9661981546308627,0.18223911774285903,0.16974257229865927,0.1760790992647069,Low,0
892830001dbffff,0.7955856705314208,0.9265758510682506,0.17627947453006887,0.14024542394493136,0.16333630413856257,Low,0
89283000303ffff,0.8114260916730285,0.9306185934232639,0.17337696322264803,0.1406825916538917,0.16134782564625766,Low,0
89283000307ffff,0.7959431656999714,0.9246656394431378,0.17638396124855008,0.14039160849487203,0.1630961883154042,Low,0
8928300030bffff,0.6880809541879074,0.9272985845829219,0.06001222605516054,0.04129326976697526,0.05564925227862071,Low,0
8928300030fffff,0.9622683213275361,0.9301463087666301,0.19278259119233163,0.18550858040781762,0.17931601559201352,Low,0
89283000313ffff,0.7815261851640721,0.9352633418159657,0.14503032160337911,0.1133449939758074,0.1356415432474206,Low,0
89283000317ffff,0.8090703144889688,0.9393232522115232,0.17931004901722014,0.1450744377493947,0.16843009839706288,Low,0
8928300031bffff,0.9237250068096206,0.9572181464218933,0.11813486999808255,0.10912413359343244,0.11308084128735592,Low,0
89283000323ffff,0.7601202912522498,0.912478491793985,0.17929553616842084,0.13628617517256833,0.16360332042835454,Low,0
89283000327ffff,0.8281807273119479,0.9385189204645547,0.17928891675401126,0.14848362547630833,0.16826604060323405,Low,0
8928300032bffff,0.9666244761010963,0.9576290775328183,0.18081508518683034,0.17478028698989498,0.1731537832314823,Low,0
8928300032fffff,0.7978295032055411,0.9217780539992114,0.1822729110277527,0.14542270605309973,0.16801516922393328,Low,0
89283000333ffff,0.8064667461595506,0.9390734184552741,0.17781089321519458,0.1433985724829813,0.16697748333017848,Low,0
89283000337ffff,0.9596658896725593,0.9257923140579646,0.1763070041074179,0.16919581795224875,0.16322366931723348,Low,0
8928300033bffff,0.786272032532204,0.9535728394584445,0.18236858770822922,0.1433913201273769,0.17390173200896253,Low,0
89283000363ffff,0.9594307139896363,0.9146946274338694,0.13462595851031295,0.1291642794950887,0.12314164096251827,Low,0
89283000367ffff,0.9629673523646138,0.920848990343666,0.17781935400748114,0.1712342325277701,0.16374477260135192,Low,0
8928300036fffff,0.6960280696954056,0.9234518716508856,0.10770712605405058,0.07496718303984057,0.09946234714475087,Low,0
89283000373ffff,0.8009064012280951,0.9380195798918702,0.13818006389193074,0.11066929769315449,0.12961560548134066,Low,0
89283000377ffff,0.8102631534811964,0.9150446333336508,0.1810123872306008,0.14666766769662606,0.16563441350227395,Low,0
